,x,y,z
0,7,0,4
1,6,1,3
2,5,3,14
3,5,5,10
4,7,2,11
5,4,6,16
6,7,2,16
7,8,5,16
8,11,0,20
9,14,2,22
10,8,13,21
11,11,4,22
12,7,3,27
13,17,11,28
14,10,7,23
15,18,4,41
16,14,10,44
17,15,7,48
18,18,15,39
19,26,2,44
20,21,16,48
21,33,13,46
22,29,13,48
23,48,13,60
24,53,18,75
25,47,17,81
26,67,16,87
27,63,19,93
28,84,20,100
29,101,19,96
30,127,23,108
31,108,22,98
32,121,30,140
33,130,31,149
34,157,37,153
35,147,44,156
36,172,40,190
37,190,45,196
38,207,51,193
39,208,45,226
40,202,60,232
41,234,63,282
42,243,71,250
43,293,78,308
44,282,71,327
45,304,84,354
46,295,86,382
47,326,89,442
48,369,96,493
49,370,105,519
50,404,101,555
51,402,122,631
52,421,144,679
53,430,133,748
54,480,163,862
55,485,160,884
56,522,189,968
57,535,214,1105
58,609,212,1144
59,625,247,1236
60,648,270,1349
61,629,327,1495
62,648,351,1639
63,652,336,1733
64,716,452,1894
65,754,488,2187
66,791,577,2530
67,811,602,2764
68,813,649,3011
69,847,760,3270
70,849,936,3598
71,923,1023,4224
72,930,1094,4575
73,1003,1181,4976
74,986,1432,5766
75,1052,1730,6169
76,1044,2135,6885
77,1059,2485,7999
78,1151,2912,8781
79,1179,3463,9333
80,1187,3610,10290
81,1186,4127,11104
82,1280,4573,12571
83,1228,5493,12754
84,1264,5239,14033
85,1289,6108,14615
86,1337,6406,15559
87,1394,6633,15883
88,1386,7021,17199
89,1452,7430,17977
90,1521,7757,19433
91,1643,8180,21567
92,1848,9059,23961
93,2111,8924,26077
94,2483,9094,28704
95,3016,8575,31742
96,3794,9209,35207
97,4853,9060,38847
98,6349,8787,39275
99,7940,8975,42746
100,10662,8868,43063
101,13628,8938,42754
102,17892,9334,40853
103,23554,8754,41135
104,29898,9272,38149
105,35087,9159,36870
106,41581,9181,35731
107,44985,9233,35944
108,43092,10091,34889
109,38630,10785,34885
110,33714,11844,35470
111,29062,13402,36395
112,24972,14444,35608
113,22234,14536,35616
114,19342,14637,34279
115,17367,14000,32170
116,15990,14402,33144
117,14925,15871,30287
118,13679,14440,29299
119,13394,14186,27673
120,13142,16272,28410
121,12880,18319,32836
122,13483,15773,35355
123,15028,25579,35878
124,17352,31685,39508
125,26519,37086,61920
126,53435,85358,66176
127,233366,303832,96693
128,243296,314518,44647
129,53406,78643,20931
130,28002,38340,12426
131,18665,19971,9964
132,14479,19298,5115
133,13039,19199,3114
134,12735,13631,3212
135,12414,13884,3403
136,12703,13557,4045
137,13351,12559,3683
138,13946,13518,4579
139,14700,13930,3629
140,16167,14245,3307
141,18052,13321,3340
142,20368,13468,2705
143,22962,13086,2925
144,26957,13528,2804
145,31861,13335,3001
146,35912,13229,2596
147,40838,12708,2557
148,42113,11157,2657
149,40261,10589,2515
150,34577,10401,2642
151,28980,10298,2607
152,22899,10468,2878
153,18276,9870,3051
154,13755,10180,2995
155,10571,10644,3398
156,8134,10662,3260
157,6265,10998,3552
158,4808,10336,3656
159,3701,10313,3692
160,2943,10433,4019
161,2405,10394,4228
162,1999,10485,4027
163,1776,9860,4031
164,1570,9346,3476
165,1461,9289,3410
166,1379,8290,3450
167,1321,8356,3302
168,1275,7981,3413
169,1257,7722,3268
170,1230,7734,3165
171,1207,7415,3142
172,1160,6419,2925
173,1139,5982,2467
174,1123,5204,2652
175,1081,4595,2177
176,1049,4524,1966
177,1074,3908,2056
178,999,3295,1913
179,989,3322,1538
180,963,2780,1710
181,926,2399,1328
182,917,2021,1259
183,879,1946,1083
184,833,1443,779
185,820,1402,733
186,780,1283,646
187,725,1128,588
188,738,937,564
189,713,827,426
190,713,724,418
191,697,743,372
192,648,596,283
193,576,521,268
194,526,490,252
195,533,419,202
196,553,376,202
197,533,320,165
198,467,296,157
199,466,294,141
200,444,278,128
201,401,238,115
202,396,227,105
203,367,210,104
204,355,187,95
205,349,173,86
206,295,163,74
207,293,143,74
208,286,152,69
209,274,139,68
210,284,139,65
211,261,127,54
212,275,102,54
213,221,89,51
214,241,107,47
215,216,85,40
216,234,87,46
217,186,74,39
218,175,72,39
219,167,66,30
220,122,64,34
221,129,53,28
222,117,50,23
223,103,57,28
224,97,52,26
225,93,37,22
226,83,40,23
227,73,35,20
228,65,34,23
229,65,33,18
230,54,30,18
231,58,28,18
232,28,23,18
233,31,20,19
234,26,23,14
235,27,19,17
236,25,33,10
237,15,10,11
238,13,25,9
239,11,19,13
240,13,15,11
241,11,13,7
242,8,8,4
243,9,14,10
244,9,10,6
245,6,9,5
246,8,7,7
247,5,6,5
248,9,9,5
249,11,7,10
250,9,4,5
251,11,5,4
252,6,7,4
253,6,4,6
254,12,2,2
255,5,4,0
