,vx,vy,vz,x,y,z
0,2,0,8,0,0,152
1,11,0,13,0,0,577
2,23,0,6,0,0,952
3,15,0,13,0,0,1602
4,9,0,8,0,0,2642
5,10,0,18,0,0,2803
6,21,0,16,0,0,2994
7,27,0,27,0,0,4365
8,19,4,41,0,308,5836
9,24,11,48,0,2004,7243
10,22,15,73,0,1374,7257
11,56,32,69,0,2086,7250
12,51,62,70,0,12116,11287
13,53,149,115,0,845,8794
14,67,169,161,0,875,7554
15,45,166,288,0,7021,5083
16,31,107,153,0,11913,3450
17,32,74,141,0,8031,11575
18,49,152,195,0,4957,9823
19,76,125,233,0,660,5435
20,94,106,349,0,1016,12548
21,46,126,231,0,1105,8284
22,54,125,239,0,1380,4116
23,136,163,257,908,11496,4914
24,123,95,371,17399,10890,11554
25,128,71,478,7151,3362,20295
26,171,46,651,22528,1267,31737
27,220,53,569,26248,12927,8166
28,272,78,687,26430,421,7362
29,208,113,739,15339,365,7765
30,233,81,878,7534,282,10862
31,356,78,1303,8626,3422,6557
32,460,80,1430,7989,1441,9961
33,329,101,1572,9229,228,5526
34,444,232,1691,8563,10102,4379
35,365,154,2340,8095,4906,14248
36,449,169,3350,6047,5678,6550
37,683,185,4340,8848,7141,4689
38,730,191,5165,10332,678,6305
39,806,303,6318,4980,19535,7475
40,1090,375,6816,4373,20531,17294
41,960,397,8538,4206,4173,77741
42,979,251,10032,4516,144,119278
43,958,389,11837,7381,0,177722
44,1363,604,14409,5818,0,266637
45,2411,748,17237,6478,0,403250
46,3249,842,22244,6485,871,657253
47,5700,1782,29316,7376,9028,870128
48,10188,4034,38138,5340,20656,1306266
49,18742,7317,55743,6356,8779,2652481
50,33194,15310,75277,7113,2896,5699129
51,56819,31368,105637,6792,6152,5834405
52,93495,58887,149666,7121,8576,2448530
53,145468,103606,212989,5180,11792,626720
54,227391,167638,297031,3289,20703,121161
55,344100,266284,408375,2959,28650,26120
56,495821,414767,544202,2095,2570,5522
57,687259,608001,713024,1634,12776,3665
58,919664,848767,913297,1713,70839,11388
59,1169408,1140794,1126602,1971,178545,4158
60,1422494,1449393,1342815,1291,617509,3203
61,1642654,1742912,1514472,16299,1724052,11999
62,1820142,1965665,1661542,886532,3361588,10230
63,1926776,2115458,1739376,9811346,4679557,18612
64,1910419,2121927,1750720,9607965,4632767,3901
65,1824143,1992056,1692792,917879,3307214,3805
66,1629857,1749284,1549725,24031,1752690,9904
67,1398206,1461337,1360767,3268,659417,12416
68,1143449,1145031,1145252,3659,195191,8001
69,902686,851214,940146,4241,39460,5721
70,681807,603333,736346,2257,12107,5467
71,491504,412420,553208,2691,16469,5185
72,338546,270465,400416,2014,16693,5901
73,220168,169473,278193,1738,6791,5750
74,138785,100495,187890,2723,6974,3676
75,86633,58027,121703,3472,11224,4482
76,54216,31319,74985,4363,6897,15996
77,33150,18323,46953,4770,6016,9775
78,20407,8934,28119,5143,10190,11285
79,13267,4146,16543,5993,7031,6139
80,7965,2174,8434,5735,19097,6228
81,5022,1613,3930,6339,4710,9695
82,2853,1302,1976,7416,3259,12856
83,1846,759,1084,11847,13371,14101
84,1568,310,609,12705,7930,2969
85,1755,217,482,10611,1182,4205
86,1538,179,236,12036,3811,2724
87,1184,105,86,14506,32001,6390
88,549,79,9,15003,11043,4819
89,696,28,4,14669,746,6519
90,554,41,2,15357,11860,3995
91,372,30,2,15200,3279,9450
92,284,18,6,19774,4870,3029
93,220,68,4,15541,16258,8366
94,342,134,2,13434,8687,4347
95,223,53,2,10665,3086,4603
96,265,16,1,10759,17008,7353
97,220,4,1,10069,18556,3572
98,129,5,2,11654,11332,5443
99,131,2,1,12332,7287,10924
100,86,5,6,21568,21173,9965
101,132,11,2,44025,10507,4535
102,246,6,2,26047,13629,519
103,253,9,1,10974,1570,432
104,161,24,5,0,780,657
105,188,28,2,0,3011,721
106,170,11,2,0,7091,570
107,145,31,13,0,4089,760
108,138,7,7,0,4695,2368
109,135,13,10,0,24018,11760
110,127,3,10,0,1246,245
111,102,3,5,0,2533,0
112,72,12,4,0,2454,0
113,9,24,5,0,4215,0
114,24,21,5,0,5282,0
115,20,0,18,0,5344,0
116,11,0,67,0,4398,0
117,28,0,25,0,3425,0
118,11,0,45,0,2890,0
119,9,0,8,0,4316,0
120,7,0,34,0,663,0
121,9,0,20,0,282,0
122,4,0,18,0,49,0
123,3,0,50,0,0,0
124,5,0,38,0,0,0
125,5,0,23,0,0,0
126,0,0,5,0,0,0
127,0,0,4,0,0,0
