,x,y,z
0,107,1,1
1,122,3,3
2,138,8,3
3,140,66,14
4,162,35,15
5,159,64,35
6,167,61,50
7,185,105,61
8,179,65,13
9,203,42,34
10,206,41,32
11,221,49,33
12,226,96,26
13,247,23,38
14,255,29,38
15,267,79,24
16,290,44,16
17,317,32,38
18,335,69,48
19,399,83,40
20,430,48,96
21,443,59,43
22,512,51,54
23,518,64,59
24,545,65,62
25,581,81,62
26,646,88,111
27,669,81,99
28,668,117,36
29,666,173,48
30,666,29,109
31,669,93,114
32,626,38,163
33,639,228,110
34,706,124,161
35,735,115,220
36,724,66,219
37,751,136,131
38,851,191,123
39,892,123,268
40,775,143,197
41,816,167,303
42,854,170,116
43,858,158,200
44,867,193,251
45,989,151,227
46,1106,244,204
47,1033,169,295
48,1243,192,226
49,1142,210,371
50,1278,217,275
51,1337,200,349
52,1363,229,298
53,1303,368,337
54,1224,284,472
55,1463,259,454
56,1604,406,691
57,1646,341,619
58,1725,279,660
59,1939,438,831
60,1661,477,742
61,1686,420,842
62,1632,493,810
63,1602,490,978
64,2099,460,1031
65,2169,557,1013
66,2162,671,992
67,1987,776,938
68,2211,653,1080
69,2408,565,1195
70,2277,605,1468
71,2607,611,1161
72,2563,692,1491
73,2390,861,1354
74,2772,719,1608
75,2843,686,2074
76,2831,895,1523
77,3014,824,1745
78,3128,983,1502
79,3110,894,2147
80,3305,904,1819
81,4286,1016,2308
82,3581,1007,1910
83,4050,1330,2791
84,4061,1226,2254
85,4651,1196,2729
86,4725,1324,2924
87,4909,1171,2988
88,5102,1649,3203
89,5117,1761,3490
90,5123,1807,3579
91,5939,1998,4142
92,5926,2358,5103
93,6059,2407,4923
94,6120,2606,5736
95,6927,2956,6141
96,6626,3678,6719
97,6727,3865,7329
98,6556,4601,8180
99,6775,4905,8711
100,6857,5292,9270
101,6597,5803,9549
102,6477,6296,9660
103,6397,6714,10133
104,6446,6766,10210
105,6864,6917,10699
106,7516,7384,10970
107,8891,7799,12506
108,11395,8929,15598
109,15300,10363,20919
110,21382,13004,27746
111,28973,15181,32914
112,37965,16494,37852
113,48308,18342,40561
114,62567,20316,44443
115,80254,21676,44708
116,94278,22001,44164
117,93390,21831,43749
118,83247,23197,45623
119,68853,24133,49194
120,56647,26642,53841
121,48153,29988,58698
122,41946,31806,59332
123,38793,31641,61353
124,36682,39165,72325
125,39276,53144,98065
126,50800,90785,161934
127,165377,718174,886907
128,187268,805785,396736
129,55896,125449,48829
130,43836,49961,34926
131,40136,46705,22343
132,40934,40340,20267
133,44678,39423,15163
134,50731,35104,12897
135,59806,30737,12103
136,72112,25235,12167
137,86515,22686,12500
138,98927,21491,12151
139,98627,20773,11694
140,85556,20446,10929
141,66427,19523,10311
142,51037,17689,9654
143,40270,16275,8975
144,30811,14136,7866
145,22670,11959,6808
146,16395,9477,5779
147,12062,7870,4573
148,9485,6708,4048
149,7986,6486,3803
150,7106,6103,3806
151,6661,5864,3691
152,6740,5583,3612
153,6637,5523,3285
154,6834,5102,3202
155,6752,4688,2932
156,7071,4374,2601
157,7119,3884,2100
158,6698,3793,2018
159,6617,3336,1706
160,6788,3125,1434
161,6600,2419,1211
162,6242,2493,1207
163,6256,2060,917
164,6101,1796,982
165,5896,1670,813
166,5397,1377,694
167,5101,1535,799
168,4850,1279,669
169,4831,1154,612
170,4870,1120,558
171,3980,1068,583
172,4230,1079,547
173,3999,953,559
174,3791,989,451
175,3972,822,522
176,3508,853,445
177,3165,785,482
178,3391,800,329
179,2690,835,480
180,2794,754,444
181,2795,586,320
182,2694,604,365
183,2468,638,334
184,2597,554,329
185,2336,682,285
186,2063,709,267
187,2415,694,312
188,2021,560,297
189,2386,627,290
190,2025,517,365
191,1814,504,211
192,1971,474,208
193,2156,424,196
194,1682,339,251
195,1454,401,164
196,1721,486,226
197,1716,355,239
198,1423,357,126
199,1552,247,129
200,1382,333,100
201,1345,227,142
202,1393,225,91
203,1434,235,125
204,1377,281,132
205,1351,183,140
206,1237,153,150
207,1211,193,44
208,1375,268,96
209,1316,115,43
210,1146,89,106
211,981,198,70
212,904,72,71
213,886,124,60
214,962,103,87
215,986,229,59
216,903,174,77
217,869,94,26
218,848,125,25
219,831,125,39
220,802,27,28
221,850,89,38
222,795,73,43
223,703,78,0
224,668,75,64
225,681,73,9
226,649,36,10
227,656,61,15
228,615,157,20
229,632,69,31
230,631,31,8
231,575,59,12
232,564,43,24
233,487,91,7
234,486,87,30
235,430,41,3
236,410,42,6
237,365,104,14
238,337,55,79
239,318,47,6
240,292,44,60
241,281,60,14
242,283,39,13
243,264,50,21
244,245,37,0
245,238,46,15
246,210,17,7
247,207,27,2
248,198,15,1
249,177,46,14
250,155,9,24
251,158,21,0
252,139,26,9
253,120,33,5
254,141,12,0
255,111,1,1
