,delta,k_dic,eps,s_0,w
1,-14,[0 0 1],[0 1 0],0.65,2.0
2,-14,[0 0 -1],[0 1 0],0.65,2.0
3,-14,[1 0 0],[1 0 0],0.65,2.0
4,-14,[-1 0 0],[1 0 0],0.65,2.0
5,-14,[0 1 0],[1 0 0],0.65,2.0
6,-14,[0 -1 0],[1 0 0],0.65,2.0
