k_dic,eps,s_0,w
[1 0 0],[1 0 0],0.65,10.0
[-1 0 0],[1 0 0],0.65,10.0
[0 -1 1],[0 1 0],0.65,10.0
[0 1 -1],[0 1 0],0.65,10.0
[0 1 1],[0 1 0],0.65,10.0
[0 -1 -1],[0 1 0],0.65,10.0
