,x,y,z
0,40,0,0
1,44,0,0
2,44,0,0
3,45,0,0
4,47,0,0
5,47,0,0
6,51,0,0
7,54,0,0
8,57,0,0
9,59,0,0
10,59,0,0
11,62,0,0
12,68,0,0
13,69,0,0
14,73,0,0
15,88,0,0
16,104,0,0
17,123,0,0
18,169,0,0
19,207,0,0
20,218,0,1
21,303,0,0
22,373,0,1
23,425,0,0
24,490,0,3
25,616,0,1
26,642,0,2
27,797,0,4
28,858,0,2
29,990,0,4
30,1138,0,5
31,1182,0,15
32,1452,0,15
33,1556,0,17
34,1668,0,25
35,1819,0,29
36,2133,0,33
37,2187,1,52
38,2545,2,45
39,2685,1,73
40,2892,2,81
41,3095,4,114
42,3291,6,111
43,3387,5,148
44,3604,9,134
45,3984,14,173
46,4254,20,381
47,4531,38,443
48,4674,42,606
49,4758,73,684
50,4734,129,644
51,4887,171,689
52,6010,256,883
53,7206,698,779
54,8310,714,752
55,9566,592,810
56,11893,592,952
57,15106,749,1262
58,16702,1245,1831
59,16994,3579,2974
60,18318,6137,7038
61,80410,202806,245790
62,62029,226646,183426
63,13716,6554,6894
64,12709,2723,1857
65,12370,1566,929
66,11307,1033,548
67,8939,771,335
68,7186,637,271
69,6215,568,217
70,5366,520,196
71,4500,515,192
72,3691,561,201
73,3579,630,295
74,3598,816,449
75,3483,687,155
76,3404,443,116
77,3236,335,56
78,2963,241,44
79,2712,164,21
80,2631,144,31
81,2581,108,14
82,2394,78,15
83,2266,54,9
84,2058,65,4
85,1813,38,4
86,1633,29,4
87,1455,22,2
88,1397,14,2
89,1269,13,1
90,1065,7,2
91,962,8,0
92,876,6,0
93,878,5,0
94,745,3,0
95,606,3,0
96,590,2,0
97,502,1,0
98,409,1,0
99,398,0,0
100,309,0,0
101,257,0,0
102,217,0,0
103,192,0,0
104,143,0,0
105,130,0,0
106,105,0,0
107,80,0,0
108,65,0,0
109,57,0,0
110,52,0,0
111,50,0,0
112,46,0,0
113,42,0,0
114,43,0,0
115,42,0,0
116,39,0,0
117,42,0,0
118,33,0,0
119,35,0,0
120,37,0,0
121,33,0,0
122,27,0,0
123,35,0,0
