,x,y,z
0,0,6,97
1,0,11,202
2,0,24,336
3,0,47,540
4,0,59,682
5,0,62,851
6,0,74,983
7,37,94,1165
8,65,129,1342
9,132,185,1539
10,63,295,1600
11,62,404,1804
12,72,466,1905
13,92,527,1815
14,143,535,1794
15,164,537,1951
16,177,585,2156
17,221,665,1871
18,249,726,1851
19,393,760,1830
20,506,802,1826
21,679,863,1881
22,794,890,1896
23,1114,943,1951
24,1455,1134,2024
25,1778,1282,2121
26,1598,1408,2239
27,1614,1631,2393
28,2050,1929,2622
29,2752,2629,3019
30,4107,4283,3824
31,16000,10938,8191
32,14973,11445,4667
33,4278,3900,806
34,2255,2702,356
35,1830,2030,189
36,1281,1711,175
37,1178,1413,155
38,1047,1053,160
39,1023,964,154
40,847,853,145
41,663,829,144
42,598,773,141
43,401,682,139
44,328,626,122
45,257,600,85
46,210,569,84
47,154,536,88
48,127,530,91
49,134,526,85
50,102,448,92
51,84,411,92
52,89,357,99
53,62,260,86
54,96,177,68
55,105,132,62
56,153,99,76
57,155,92,64
58,186,67,54
59,2,60,50
60,0,60,34
61,0,51,20
62,0,40,27
63,0,16,15
