,x,y,z
0,2,0,0
1,3,0,0
2,2,0,0
3,4,0,0
4,1,0,0
5,4,0,0
6,3,0,0
7,4,0,0
8,3,0,0
9,6,0,0
10,4,0,0
11,7,0,0
12,9,0,0
13,10,0,0
14,9,0,0
15,13,0,0
16,15,0,1
17,16,11,1
18,16,27,11
19,21,35,27
20,23,31,37
21,25,53,46
22,28,66,49
23,27,83,72
24,39,79,91
25,42,126,114
26,41,146,108
27,42,165,156
28,50,144,179
29,53,157,198
30,63,173,204
31,76,182,167
32,91,209,221
33,103,211,240
34,129,193,250
35,168,202,294
36,221,244,346
37,297,296,386
38,390,352,547
39,532,376,691
40,692,359,790
41,855,442,913
42,1033,429,908
43,1163,408,949
44,1507,434,835
45,1671,431,932
46,1939,469,729
47,2097,412,694
48,1923,452,686
49,1695,448,604
50,1350,510,664
51,1197,418,743
52,1054,414,684
53,909,466,864
54,805,775,1054
55,737,1021,1335
56,696,1303,1737
57,665,857,2818
58,1607,2176,3012
59,2024,922,6778
60,1242,2538,7041
61,4001,12978,25107
62,4821,23938,6446
63,1098,4350,17
64,899,2346,13
65,822,808,12
66,825,1550,13
67,834,331,13
68,896,285,13
69,960,349,14
70,1074,460,14
71,1185,545,16
72,1345,472,17
73,1661,412,17
74,1960,306,18
75,2199,290,18
76,2319,330,23
77,2532,395,25
78,2468,457,25
79,2010,431,25
80,1711,386,32
81,1377,330,30
82,1221,287,33
83,1039,320,37
84,806,224,47
85,606,151,45
86,433,111,56
87,316,72,57
88,234,50,33
89,182,37,62
90,147,33,59
91,117,26,85
92,97,21,65
93,86,26,81
94,72,19,90
95,67,14,53
96,51,16,34
97,52,15,34
98,47,6,61
99,45,6,44
100,44,3,16
101,38,4,63
102,33,1,40
103,30,2,12
104,25,0,45
105,26,0,19
106,21,1,13
107,20,0,18
108,17,0,18
109,12,0,15
110,15,0,19
111,8,0,12
112,10,0,15
113,9,0,9
114,7,0,7
115,8,0,6
116,4,0,8
117,7,0,8
118,3,0,6
119,5,0,0
120,5,0,0
121,4,0,0
122,5,0,0
123,1,0,0
