0,760031
1,5023081
2,12134490
3,19751212
4,25807052
5,28644774
6,27864614
7,24272814
8,19115316
9,13688408
10,8976710
11,5371720
12,2960628
13,1499688
14,701939
15,306130
16,123415
17,46250
18,16786
19,5431
20,1819
21,665
22,243
23,84
24,56
25,21
26,20
27,3
28,0
29,2
30,10
31,9
32,12
33,38
34,49
35,46
36,31
37,68
38,16
39,31
40,13
41,5
42,21
43,11
44,27
45,26
46,5
47,6
48,3
49,47
50,6
51,18
52,2
53,27
54,0
55,0
56,24
57,13
58,17
59,15
60,27
61,53
62,0
63,48
64,0
65,11
66,0
67,28
68,95
69,120
70,8
71,104
72,86
73,66
74,43
75,40
76,159
77,61
78,156
79,153
80,96
81,137
82,181
83,71
84,184
85,98
86,227
87,162
88,260
89,279
90,203
91,134
92,244
93,409
94,130
95,228
96,21
97,41
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
