,x,y,z
0,30,0,0
1,119,0,0
2,206,0,1
3,236,0,3
4,245,2,4
5,253,5,2
6,265,3,3
7,271,1,5
8,273,0,7
9,298,1,10
10,295,1,3
11,309,0,0
12,323,2,7
13,328,0,8
14,337,1,4
15,338,8,5
16,347,2,2
17,359,0,9
18,366,4,11
19,369,5,7
20,383,0,1
21,408,1,7
22,410,6,10
23,422,7,12
24,466,3,7
25,468,0,2
26,468,6,8
27,481,10,3
28,505,7,20
29,501,0,16
30,539,6,1
31,525,3,12
32,537,8,4
33,585,12,4
34,559,9,9
35,618,2,10
36,608,9,15
37,616,12,19
38,653,14,46
39,654,18,24
40,714,11,27
41,730,14,33
42,700,24,22
43,734,17,30
44,748,26,44
45,825,13,41
46,852,23,30
47,864,13,45
48,889,21,45
49,940,24,65
50,987,38,52
51,979,37,63
52,960,50,54
53,983,23,79
54,1030,46,65
55,1130,47,67
56,1191,45,92
57,1201,47,94
58,1196,54,91
59,1245,54,109
60,1298,75,86
61,1380,61,119
62,1362,72,95
63,1281,83,93
64,1390,83,126
65,1544,99,129
66,1605,116,121
67,1648,94,149
68,1738,97,126
69,1942,110,148
70,1990,114,167
71,2079,96,156
72,2004,138,141
73,2067,136,171
74,2248,99,163
75,2319,132,206
76,2487,118,161
77,2703,161,191
78,2816,150,202
79,2948,167,196
80,3018,175,273
81,3304,192,240
82,3515,158,291
83,3486,211,310
84,3845,215,284
85,4137,188,327
86,4450,290,397
87,4801,262,315
88,4977,280,296
89,5195,260,472
90,5581,252,415
91,5800,341,469
92,6336,360,438
93,7251,348,528
94,7389,441,529
95,7548,445,642
96,8522,474,626
97,9071,474,662
98,9729,545,843
99,10451,654,825
100,11819,745,940
101,12894,708,1090
102,13890,856,1138
103,14738,1040,1453
104,16064,1248,1519
105,17523,1475,1671
106,19378,1542,1853
107,20664,1770,2211
108,22478,1868,2341
109,23510,2238,2926
110,25191,2518,3370
111,27682,3116,3948
112,30749,3624,4797
113,33324,4417,5931
114,35361,5664,7572
115,36202,7232,9658
116,36499,8393,10514
117,36035,9045,10944
118,40984,9162,11407
119,53731,10528,12335
120,66259,12164,13391
121,78412,14213,15192
122,96443,17823,18431
123,126939,21698,23077
124,140118,29852,29243
125,136191,39927,41504
126,138789,66085,79546
127,506801,1712533,1890098
128,488390,1656995,1452552
129,130207,59823,59547
130,127421,33132,34700
131,130774,23257,22870
132,118318,18526,17063
133,89697,15749,14613
134,72689,12899,11456
135,61616,10693,9490
136,49964,9103,7792
137,38112,8086,7126
138,33547,7657,6093
139,33933,7287,5931
140,33730,6724,5339
141,32923,5377,3882
142,31375,4008,3015
143,28851,3042,2415
144,26217,2607,1911
145,23476,2080,1720
146,22103,1813,1394
147,20991,1530,1297
148,19083,1356,1097
149,17649,1140,1019
150,16851,1048,885
151,15190,756,674
152,13758,658,592
153,13189,519,511
154,11816,517,461
155,10539,454,326
156,10243,356,369
157,9351,280,289
158,8270,247,268
159,7974,247,233
160,7323,196,206
161,6951,233,215
162,6148,208,221
163,5849,176,202
164,5914,186,163
165,5121,146,138
166,4913,128,165
167,4539,138,149
168,4413,135,159
169,3719,130,135
170,4001,112,143
171,3772,104,139
172,3379,141,115
173,3113,91,84
174,3002,90,117
175,2924,88,118
176,2694,101,71
177,2588,61,77
178,2507,74,73
179,2372,89,76
180,2226,70,49
181,2052,68,53
182,2071,57,55
183,1921,68,76
184,1830,50,75
185,1766,56,65
186,1720,52,68
187,1666,45,52
188,1560,50,40
189,1533,58,51
190,1414,62,53
191,1463,60,54
192,1388,46,55
193,1306,29,51
194,1217,34,43
195,1143,25,44
196,1123,24,36
197,1153,30,22
198,1105,34,48
199,1074,28,28
200,1005,29,47
201,995,24,24
202,981,16,26
203,944,18,17
204,869,20,7
205,835,8,7
206,825,12,6
207,765,11,13
208,760,7,8
209,727,10,13
210,726,12,10
211,718,5,11
212,693,6,1
213,666,4,9
214,656,4,12
215,658,0,5
216,657,0,7
217,646,1,14
218,599,4,8
219,585,3,10
220,564,2,12
221,542,3,2
222,523,1,7
223,515,2,0
224,504,0,10
225,500,0,0
226,479,1,5
227,469,0,10
228,464,0,7
229,421,0,0
230,418,0,5
231,395,0,9
232,385,0,6
233,369,0,0
234,362,0,2
235,351,0,0
236,334,0,2
237,326,0,0
238,315,0,5
239,301,0,4
240,303,0,0
241,278,0,3
242,289,0,5
243,289,0,0
244,283,0,0
245,268,0,5
246,275,0,4
247,262,0,0
248,246,0,1
249,254,0,4
250,237,0,4
251,231,0,6
252,229,0,3
253,182,0,0
254,110,0,0
255,18,0,0
