,x,y,z,vx,vy,vz
0,0,0,0,2,0,11
1,0,0,0,8,0,70
2,0,0,0,57,2,97
3,0,0,0,54,2,192
4,0,0,0,105,1,203
5,0,0,25354,135,2,211
6,0,0,480,141,27,301
7,0,0,0,248,3,318
8,0,0,0,252,7,396
9,0,0,0,280,3,447
10,0,3724,334,329,8,547
11,0,4496,7545,263,19,574
12,0,1485,8145,207,114,593
13,0,26054,8976,284,162,757
14,0,1696,33482,272,202,866
15,0,0,46858,410,203,1066
16,0,0,49777,473,170,1171
17,0,299,62510,500,199,1251
18,0,29914,46954,481,188,1307
19,0,26309,72017,414,226,1396
20,0,2255,57794,568,398,1725
21,0,15484,65195,559,469,2106
22,0,26361,57980,630,509,2684
23,0,22449,87576,723,615,3069
24,0,37177,59040,699,738,3613
25,0,21348,56543,567,733,4251
26,0,25336,80806,701,959,4782
27,0,44476,93242,868,1288,5652
28,0,64261,60898,897,1198,6304
29,0,80931,46571,793,1598,7178
30,0,37780,78329,1170,1856,7982
31,0,94412,67960,1501,2261,9227
32,0,123749,54744,1942,2637,10656
33,0,122048,64358,2365,2757,12056
34,0,149155,101151,3072,2973,14378
35,0,129751,105246,4057,3342,17491
36,0,128450,45291,4943,3530,20801
37,0,99180,121867,5879,4156,24698
38,2611,128379,59264,7373,5439,28662
39,34241,75825,83647,9474,6728,33463
40,106864,144725,108633,11346,9232,37513
41,279255,126396,67063,14648,11884,42368
42,236607,122787,123748,17790,14920,50190
43,153421,38976,142009,23133,19155,59932
44,187836,89587,91993,29574,24590,69984
45,173976,42097,43796,37136,31470,81203
46,182729,27891,74786,46082,41511,96361
47,224058,101626,77691,60586,54328,114176
48,102963,139584,68522,74301,70013,132198
49,103160,91885,131939,92919,89513,154204
50,155646,132683,67631,116746,106761,180103
51,174866,34647,75649,143144,136962,210857
52,117243,68203,93819,179032,172555,245443
53,56004,51209,103417,223874,210605,283899
54,91539,85217,171177,275837,259139,332783
55,103730,76820,355139,331857,311797,383929
56,175189,71707,707016,389509,374816,440098
57,133308,59844,2129743,457373,449929,495250
58,208087,111405,2248082,529592,525196,554507
59,176145,165320,784623,595001,607585,610803
60,97497,124905,218169,660388,676261,657404
61,27932,246412,110486,715713,742373,693942
62,87720,905381,118820,750562,786237,708069
63,3456451,2003030,137219,775616,814098,704880
64,3388630,2033574,97478,773894,815495,685597
65,77068,1025060,104771,750520,796104,646091
66,89382,337265,111928,715243,751847,594907
67,182416,75472,110380,664264,687400,532785
68,124159,66889,84960,603166,610976,467905
69,208261,87209,100501,534189,532723,403638
70,108853,36717,185546,467569,462039,347295
71,85591,106194,46402,395030,391603,291137
72,106830,85878,47374,333656,325418,250881
73,84728,49092,95263,280124,266979,212795
74,101650,49407,37469,230466,213751,182319
75,96410,49572,96516,187012,171590,157836
76,86820,79090,113246,152142,138814,135304
77,105803,128290,109367,120259,109820,118049
78,76400,61140,75464,93637,86079,104768
79,118668,53244,90237,74728,67599,89553
80,199863,119367,65733,58727,53701,77958
81,65125,91891,102816,44072,42367,66928
82,140861,48789,98716,33772,32012,56783
83,254270,193155,97779,27277,23790,47170
84,207973,111149,41490,21144,17857,39888
85,156449,155746,86575,14553,12991,32047
86,239073,145158,63848,11084,9723,26479
87,60642,128164,140336,8150,6770,21832
88,26300,109399,43636,6271,5189,18340
89,0,131698,82436,4846,4231,14251
90,0,71793,38149,3606,3320,11014
91,0,145274,51643,2992,2309,8055
92,0,72978,33298,2408,2237,6388
93,0,88888,132557,2135,1599,4796
94,0,15403,104631,1692,1169,3829
95,0,76932,43993,1377,1034,2989
96,0,107834,96315,1175,1075,2400
97,0,79723,15900,1049,710,1817
98,0,30320,36998,1077,619,1369
99,0,36904,44235,1097,489,934
100,0,7105,23939,1036,415,609
101,0,4723,36002,833,337,494
102,0,16077,37688,879,335,353
103,0,39123,59913,801,279,245
104,0,60020,16078,632,340,151
105,0,29114,6257,765,236,112
106,0,33910,8101,596,169,70
107,0,10279,4187,676,179,78
108,0,20632,33611,699,125,74
109,0,15455,0,535,139,72
110,0,5708,25117,470,110,26
111,0,46608,1320,379,70,39
112,0,29432,0,316,49,7
113,0,932,0,282,68,20
114,0,246,0,341,43,8
115,0,25604,0,296,33,6
116,0,25810,0,322,40,37
117,0,746,0,305,28,8
118,0,0,0,234,42,8
119,0,0,0,200,9,4
120,0,0,0,225,29,0
121,0,0,0,185,7,0
122,0,0,0,120,13,0
123,0,0,0,87,7,0
124,0,0,0,88,9,0
125,0,0,0,22,0,0
126,0,0,0,12,4,0
127,0,0,0,2,0,0
