,vx,vy,vz,x,y,z
0,0,0,4,0,442,366
1,0,0,12,0,541,1541
2,0,0,19,0,533,1760
3,0,0,13,0,424,2691
4,0,0,17,0,505,3337
5,0,8,21,0,761,3380
6,0,18,23,0,216,4910
7,0,15,67,0,116,6289
8,0,69,82,0,146,6784
9,0,68,130,0,603,5157
10,0,51,225,0,1588,5411
11,0,34,121,0,10996,5011
12,6,51,113,0,652,4698
13,55,48,322,0,4970,5349
14,40,115,460,0,8311,13943
15,42,106,237,0,754,15685
16,127,101,262,0,908,9722
17,161,122,389,0,2743,9938
18,139,144,423,0,2613,30234
19,274,103,376,0,7257,12949
20,217,67,222,0,10331,7860
21,152,72,336,0,1958,4815
22,85,71,423,0,2111,12946
23,13,97,714,0,9489,11903
24,71,164,1312,0,5125,6792
25,50,277,1444,0,15220,8787
26,27,312,762,7770,10539,7992
27,25,216,911,5272,1562,10651
28,39,335,1100,9035,7915,9710
29,37,133,1405,17516,16874,3998
30,53,139,1941,29065,16295,5202
31,42,97,1661,20312,6897,4795
32,19,80,1641,12939,0,3899
33,45,101,2059,17846,0,4062
34,0,81,2366,26811,30780,2930
35,155,62,2819,35286,21991,8747
36,14,77,2958,11021,13746,17001
37,44,90,2999,9928,13241,11178
38,7,81,3420,10369,8275,4423
39,32,57,3831,10489,1409,18155
40,99,44,5171,11597,3203,14977
41,246,104,5185,7271,17343,9338
42,614,245,6631,7250,3063,8116
43,1092,131,7055,8164,0,170937
44,896,191,8524,7674,0,378217
45,1792,523,10998,9189,0,476748
46,2536,1023,14005,8945,4064,718146
47,4507,1514,19055,8051,2609,1061677
48,9040,2254,25965,7950,0,1934297
49,13819,3974,35631,6364,5013,4491143
50,21578,11097,49538,4882,9450,5619695
51,36692,22002,70463,4565,3599,2063658
52,64124,38922,102306,2806,30826,283493
53,101516,65555,144698,3241,11329,46502
54,156414,113832,208181,3445,7206,5369
55,241997,190927,295749,5029,15924,3141
56,372701,305990,405648,5847,28743,5016
57,531731,449968,543043,5317,25290,14673
58,728597,668020,718705,3875,63223,14075
59,948667,923322,929435,3015,199791,4560
60,1166391,1197052,1146603,3672,536195,4783
61,1367548,1472222,1336806,5833,1544057,3363
62,1536515,1699303,1468058,485350,2804067,3502
63,1629874,1832264,1552137,8272981,3631976,6684
64,1639206,1834699,1550416,8136460,3476842,16141
65,1550567,1707545,1473731,439776,2586622,3818
66,1393930,1483233,1325370,7834,1468061,10092
67,1171053,1201091,1135581,1733,584931,11483
68,941926,925510,928319,2327,223020,4538
69,721753,665228,734032,2035,83892,1849
70,533947,455712,555172,1345,40909,1320
71,378883,289664,394802,1397,21741,3309
72,257459,178488,276239,1563,5790,9073
73,171934,105065,183337,1445,7542,17219
74,109256,59241,118693,1865,8804,5473
75,65753,32533,71760,2288,3646,8267
76,39200,17154,42469,2758,4485,5806
77,23268,8935,24479,3413,5118,16371
78,13524,5315,12298,3665,5857,20271
79,6835,2506,6138,5568,11629,17547
80,5625,1743,3090,5369,5166,8421
81,4008,1415,1326,7606,4161,14940
82,2278,1465,420,3883,2585,29464
83,2112,1157,301,4826,660,3096
84,1813,829,244,5485,4009,1194
85,1537,564,222,4435,2472,1463
86,1286,234,118,3654,5402,1950
87,1097,111,123,2423,23588,2133
88,906,153,131,4110,7645,2411
89,870,117,91,10527,19093,10939
90,1027,110,99,9675,18687,3097
91,1204,116,60,6168,4390,3627
92,1098,225,38,11739,6504,1828
93,874,308,25,12078,18543,9279
94,563,567,18,6858,16498,18567
95,295,332,13,24700,10148,12351
96,134,76,4,49077,4405,1991
97,24,73,5,12793,7567,11910
98,27,43,4,20960,8609,1362
99,8,70,3,17835,3509,7746
100,16,64,2,23640,14608,8885
101,20,36,2,5794,2698,751
102,19,97,4,1448,1229,637
103,30,61,6,0,6822,7424
104,26,86,2,0,7577,7557
105,17,69,4,0,832,1820
106,19,76,2,0,365,1680
107,13,121,6,0,297,316
108,32,71,3,0,262,0
109,17,23,8,0,2821,0
110,6,14,10,0,5741,0
111,9,0,15,0,7739,0
112,17,0,10,0,13804,0
113,6,0,5,0,4492,0
114,2,0,3,0,4649,0
115,0,0,3,0,2028,0
116,0,0,0,0,1203,0
117,0,0,0,0,740,0
118,0,0,0,0,2098,0
119,0,0,0,0,1630,0
120,0,0,0,0,1317,0
121,0,0,0,0,588,0
122,0,0,0,0,561,0
123,0,0,0,0,946,0
124,0,0,0,0,808,0
125,0,0,0,0,1596,0
126,0,0,0,0,738,0
127,0,0,0,0,0,0
