,x,y,z
0,2,1,37
1,8,3,58
2,2,6,73
3,4,7,112
4,6,32,225
5,3,71,363
6,6,64,496
7,6,111,869
8,5,216,1032
9,12,246,1489
10,7,384,1789
11,8,418,2621
12,11,444,3420
13,11,560,3744
14,11,723,5537
15,13,1086,6962
16,14,1554,9399
17,17,2073,11623
18,16,2696,14527
19,23,3940,17404
20,20,4932,19525
21,28,6496,20279
22,33,7813,20710
23,38,8384,21213
24,41,8517,20647
25,52,9094,20695
26,59,10035,20862
27,67,9852,19735
28,94,9551,18938
29,113,9892,18561
30,130,8622,18412
31,189,9263,17877
32,229,8731,17549
33,396,8015,17604
34,582,7481,18187
35,832,6811,18186
36,1065,6409,17972
37,1400,6353,17553
38,1579,5903,17813
39,2249,5609,17589
40,2108,5639,17254
41,2984,5460,17176
42,3703,5446,16799
43,4912,5263,16978
44,5970,5047,16362
45,7997,4916,15778
46,8715,5063,15428
47,10204,5277,14930
48,10350,5499,14422
49,10420,5696,14273
50,10538,5879,13697
51,10316,6203,14399
52,9807,6513,13468
53,9980,7857,13228
54,11051,8881,13067
55,10589,9954,13069
56,10400,12344,14659
57,11673,14344,13849
58,15847,17989,15993
59,22529,23003,16643
60,34887,35307,21853
61,220604,90603,50042
62,212135,85290,12814
63,45428,30931,3402
64,10993,22479,3379
65,12607,17587,898
66,14285,14873,801
67,10050,12587,755
68,9995,10889,716
69,9930,9778,683
70,10581,9113,657
71,11008,7628,1010
72,11321,6916,1309
73,11809,6419,612
74,11727,5730,597
75,10781,5392,623
76,10848,5063,619
77,9526,4829,675
78,7679,5020,677
79,6487,4960,758
80,4754,4692,870
81,3852,4897,820
82,3132,4957,904
83,2518,5136,963
84,1918,5375,1104
85,1351,5555,1075
86,1230,5452,1228
87,1013,5907,1300
88,781,6038,1045
89,507,6229,1246
90,334,6622,1438
91,247,6905,1561
92,189,6955,1555
93,146,8234,1630
94,108,8372,1910
95,76,8417,2004
96,66,9037,2000
97,53,9091,2073
98,47,8304,2112
99,38,8607,2026
100,32,7805,1641
101,34,6914,1639
102,24,6212,1367
103,24,4779,1041
104,21,3362,779
105,15,2587,654
106,12,2043,760
107,15,1661,350
108,15,1177,279
109,10,810,249
110,6,630,249
111,10,484,188
112,7,456,149
113,11,378,110
114,4,229,90
115,9,144,93
116,3,82,49
117,7,77,11
118,5,52,14
119,5,42,10
120,7,17,6
121,4,4,4
122,0,4,2
123,2,2,2
