,x,y,z
0,0,1,17
1,1,1,39
2,4,3,44
3,3,0,64
4,4,5,50
5,6,2,53
6,8,5,83
7,8,10,83
8,9,10,148
9,12,14,92
10,16,10,190
11,18,7,173
12,18,9,206
13,23,5,211
14,30,5,237
15,31,7,305
16,31,4,307
17,42,8,301
18,54,37,390
19,72,57,439
20,53,78,482
21,91,73,448
22,139,66,599
23,163,61,550
24,257,100,669
25,277,70,694
26,306,99,644
27,477,108,819
28,662,113,802
29,749,117,1085
30,688,137,1007
31,699,105,1142
32,820,128,1410
33,876,112,1135
34,851,151,1222
35,807,168,1262
36,801,296,1294
37,745,210,1149
38,728,242,1137
39,784,312,1636
40,806,315,1332
41,770,291,1238
42,710,335,1168
43,633,281,1290
44,599,425,1288
45,574,471,1627
46,537,457,1895
47,513,493,1301
48,480,400,943
49,466,393,873
50,453,455,810
51,444,581,810
52,436,456,800
53,431,504,774
54,429,627,774
55,439,614,803
56,463,610,812
57,492,773,868
58,535,835,933
59,624,1154,1035
60,1720,1596,1297
61,5869,4215,2897
62,4714,6417,1556
63,1662,4423,177
64,1165,4606,157
65,402,2697,131
66,366,2331,117
67,356,1498,125
68,349,1026,105
69,336,589,114
70,337,548,87
71,353,428,84
72,353,457,88
73,370,465,91
74,387,402,96
75,413,434,118
76,424,445,221
77,439,490,654
78,457,396,377
79,529,438,45
80,461,452,42
81,512,386,29
82,533,294,31
83,586,420,32
84,626,349,34
85,673,304,34
86,744,307,33
87,829,237,36
88,815,303,40
89,657,203,45
90,757,251,39
91,532,236,53
92,524,214,46
93,416,142,51
94,448,189,51
95,292,162,74
96,206,174,81
97,186,151,71
98,153,120,33
99,139,94,45
100,90,127,50
101,77,123,36
102,56,115,16
103,33,115,18
104,29,102,18
105,21,111,21
106,20,90,23
107,20,116,26
108,15,92,28
109,16,102,13
110,11,45,36
111,10,53,3
112,11,47,0
113,5,12,0
114,3,16,0
115,4,15,0
116,4,19,0
117,2,20,0
118,3,24,0
119,1,23,0
120,1,17,0
121,1,7,0
122,0,23,0
123,0,0,0
