0,0
1,1
2,5
3,4
4,4
5,10
6,9
7,16
8,13
9,16
10,32
11,29
12,42
13,51
14,64
15,80
16,88
17,120
18,129
19,160
20,175
21,182
22,258
23,315
24,370
25,390
26,428
27,501
28,542
29,682
30,767
31,963
32,970
33,1030
34,1083
35,1210
36,1420
37,1753
38,2018
39,2068
40,2169
41,2519
42,2743
43,3085
44,3477
45,3711
46,4222
47,4530
48,4610
49,5099
50,5469
51,5896
52,6127
53,6740
54,7308
55,8019
56,8751
57,8860
58,9800
59,10433
60,11112
61,11662
62,12315
63,12773
64,13705
65,13514
66,15421
67,15511
68,15555
69,15700
70,16785
71,17385
72,17563
73,18312
74,18521
75,18366
76,20204
77,20218
78,20301
79,21071
80,21664
81,22889
82,22238
83,22475
84,22638
85,23628
86,24541
87,25139
88,26817
89,25997
90,24729
91,27311
92,26690
93,28113
94,28720
95,29593
96,30100
97,30996
98,31030
99,30783
100,32636
101,31537
102,34228
103,33458
104,33805
105,33361
106,33564
107,34885
108,35121
109,35797
110,36969
111,35795
112,35244
113,34435
114,34288
115,34452
116,33872
117,33803
118,32057
119,30069
120,31760
121,29675
122,27935
123,25772
124,23169
125,19574
126,16226
127,11458
