0,1668
1,11839
2,29820
3,52685
4,76525
5,97621
6,111751
7,119693
8,119898
9,113452
10,104856
11,92331
12,81231
13,69892
14,58941
15,48970
16,39679
17,31941
18,26364
19,20846
20,16335
21,12393
22,9755
23,7318
24,6126
25,4985
26,4719
27,4273
28,4007
29,3628
30,2999
31,2460
32,2518
33,2397
34,2302
35,1837
36,1603
37,1748
38,1644
39,1602
40,1467
41,1828
42,2120
43,2159
44,2059
45,1675
46,1739
47,1613
48,1764
49,1716
50,1593
51,1229
52,919
53,1183
54,1113
55,1234
56,1117
57,1088
58,1174
59,1472
60,1767
61,1693
62,1358
63,1323
64,1297
65,993
66,864
67,872
68,744
69,665
70,669
71,570
72,443
73,382
74,460
75,423
76,400
77,374
78,451
79,506
80,469
81,523
82,504
83,484
84,480
85,458
86,552
87,460
88,438
89,349
90,383
91,420
92,325
93,264
94,338
95,437
96,342
97,336
98,399
99,307
100,332
101,377
102,335
103,260
104,466
105,391
106,423
107,349
108,314
109,518
110,484
111,570
112,542
113,719
114,624
115,421
116,371
117,287
118,312
119,439
120,373
121,457
122,468
123,518
124,578
125,448
126,441
127,253
