0,9079
1,61198
2,157197
3,291687
4,443400
5,625236
6,798005
7,956315
8,1088720
9,1192411
10,1268544
11,1317661
12,1327424
13,1315449
14,1272498
15,1197723
16,1122087
17,1014289
18,916359
19,804194
20,705688
21,612876
22,525830
23,439456
24,364261
25,295643
26,240187
27,196659
28,156779
29,123269
30,96393
31,72568
32,55433
33,43493
34,34743
35,26238
36,19103
37,14711
38,10649
39,8032
40,6031
41,4392
42,3205
43,2898
44,2510
45,2098
46,1545
47,1261
48,1179
49,826
50,640
51,578
52,474
53,427
54,395
55,383
56,306
57,416
58,296
59,230
60,240
61,209
62,192
63,181
64,174
65,93
66,127
67,96
68,100
69,82
70,95
71,101
72,83
73,68
74,81
75,88
76,56
77,57
78,90
79,67
80,67
81,89
82,76
83,63
84,67
85,50
86,48
87,54
88,60
89,41
90,40
91,71
92,75
93,123
94,128
95,126
96,76
97,54
98,57
99,69
100,56
101,41
102,65
103,77
104,80
105,91
106,59
107,38
108,37
109,36
110,40
111,60
112,50
113,66
114,64
115,60
116,72
117,65
118,53
119,42
120,53
121,90
122,81
123,58
124,68
125,66
126,65
127,53
