,x,y,z
0,10,2,14
1,13,1,19
2,11,2,17
3,11,3,17
4,10,3,20
5,11,6,19
6,19,4,22
7,6,4,14
8,17,4,20
9,16,5,20
10,13,6,20
11,15,4,18
12,12,4,19
13,22,5,27
14,11,4,21
15,20,5,31
16,21,5,24
17,13,2,46
18,19,6,47
19,21,3,46
20,14,2,43
21,31,3,45
22,17,4,41
23,23,3,42
24,16,3,41
25,32,3,45
26,26,1,51
27,23,2,29
28,21,6,42
29,34,3,25
30,29,2,26
31,26,3,36
32,39,2,40
33,30,8,47
34,31,6,23
35,45,6,26
36,32,4,53
37,40,7,35
38,48,8,35
39,40,8,54
40,54,15,135
41,42,18,157
42,56,24,247
43,50,16,231
44,63,19,294
45,58,8,380
46,68,29,500
47,70,13,411
48,73,22,505
49,79,104,339
50,86,158,284
51,90,143,244
52,102,106,277
53,106,66,571
54,114,68,357
55,122,52,459
56,129,76,472
57,151,91,381
58,156,159,785
59,186,172,554
60,197,116,871
61,216,162,691
62,243,219,565
63,274,156,729
64,304,459,717
65,341,419,858
66,375,429,939
67,429,437,1129
68,522,399,962
69,616,462,860
70,729,606,1123
71,853,502,996
72,910,736,1086
73,1088,781,1117
74,1311,780,1217
75,1704,992,1612
76,2450,1036,1458
77,2737,936,1668
78,3202,843,2029
79,3611,769,1889
80,3856,734,2010
81,4299,902,2395
82,4814,1403,2496
83,4603,964,2841
84,4229,1054,2948
85,3761,1156,2864
86,3134,1198,3748
87,2914,1070,4168
88,2485,998,5264
89,2560,978,4841
90,2223,901,5500
91,2003,1254,6828
92,1860,1714,8237
93,1762,1665,8260
94,1585,1855,8376
95,1480,1464,10345
96,1428,1856,13754
97,1379,1356,18404
98,1409,1875,23044
99,1297,1836,28982
100,1257,1844,38712
101,1279,1585,51160
102,1244,1978,56197
103,1266,2034,54802
104,1287,1882,57979
105,1312,1990,43341
106,1368,2109,40682
107,1376,2256,41177
108,1567,2624,31238
109,1620,2784,28090
110,1774,2664,18945
111,2085,3995,16919
112,3136,2487,14096
113,3527,2953,10135
114,4034,2376,10340
115,5755,2400,7750
116,6207,2877,9017
117,6739,2357,9664
118,10786,2285,7194
119,13488,2752,8128
120,16132,3943,5490
121,18041,4037,5788
122,24900,3997,3964
123,31105,4730,5378
124,37668,6320,4761
125,46550,8130,5312
126,50677,16958,5198
127,56306,269429,4819
128,53240,292777,2421
129,50383,20170,2019
130,43743,10137,1647
131,41987,6808,1576
132,32823,4742,1660
133,26566,4431,1350
134,20921,2987,1291
135,15205,2326,1217
136,12342,2186,1113
137,9819,2137,1267
138,7149,2513,1187
139,6373,4714,1107
140,3682,2442,1489
141,3284,3443,1059
142,2563,3826,957
143,2111,2731,745
144,1468,3040,561
145,1168,1948,512
146,1053,2243,414
147,1072,2520,508
148,1050,2063,547
149,1007,2102,528
150,965,1891,643
151,930,1651,524
152,892,2269,558
153,885,2157,395
154,935,1717,450
155,966,1835,493
156,1014,1835,667
157,1066,1884,801
158,1103,1766,727
159,1208,1888,508
160,1253,1754,556
161,1328,1513,553
162,1417,1130,614
163,1526,1128,625
164,1584,1141,377
165,1749,798,465
166,2018,922,429
167,2318,1010,365
168,2566,871,415
169,2752,832,343
170,3168,715,226
171,3713,555,181
172,3842,790,137
173,3381,704,200
174,3761,638,265
175,2957,766,236
176,2967,641,260
177,2285,710,477
178,1743,484,315
179,1389,622,432
180,1097,534,377
181,998,534,501
182,921,678,176
183,726,532,197
184,570,355,313
185,525,361,275
186,464,391,88
187,405,479,97
188,357,407,116
189,307,422,143
190,263,452,178
191,237,498,177
192,212,512,189
193,189,565,242
194,163,449,294
195,152,241,234
196,138,286,167
197,126,421,264
198,123,304,261
199,100,443,139
200,102,340,191
201,95,245,453
202,87,173,178
203,78,209,42
204,71,308,68
205,69,116,76
206,72,74,101
207,54,150,5
208,57,64,2
209,58,148,2
210,49,181,10
211,48,131,1
212,47,92,3
213,38,182,1
214,43,96,9
215,36,112,2
216,37,140,0
217,37,244,16
218,33,394,12
219,29,80,19
220,31,33,28
221,31,93,0
222,24,78,5
223,26,83,8
224,24,89,28
225,29,178,0
226,23,37,0
227,26,32,0
228,18,42,0
229,20,24,0
230,24,28,0
231,18,35,0
232,19,31,0
233,13,48,0
234,27,56,0
235,17,95,0
236,17,7,0
237,11,6,0
238,14,6,0
239,16,3,0
240,22,6,0
241,12,3,0
242,15,5,0
243,10,7,0
244,11,4,0
245,9,2,0
246,12,3,0
247,12,1,0
248,12,3,0
249,7,1,0
250,13,2,0
251,13,2,0
252,7,3,0
253,9,0,0
254,7,2,0
255,8,0,0
