,x,y,z
0,46,0,0
1,50,0,0
2,44,0,0
3,57,0,0
4,63,0,0
5,57,0,0
6,71,0,0
7,61,0,0
8,52,0,0
9,58,0,0
10,57,0,0
11,65,0,0
12,63,0,0
13,82,0,0
14,73,0,0
15,58,0,0
16,74,0,0
17,64,0,0
18,69,0,0
19,78,0,1
20,85,0,0
21,75,0,0
22,75,0,0
23,84,0,0
24,72,0,0
25,99,0,0
26,95,0,0
27,76,0,0
28,88,0,0
29,87,0,0
30,95,0,1
31,105,0,0
32,97,0,1
33,92,0,1
34,106,0,1
35,107,0,1
36,115,0,0
37,99,1,0
38,108,1,0
39,106,0,1
40,133,0,1
41,123,1,0
42,120,0,0
43,115,1,0
44,144,1,2
45,142,1,2
46,168,1,3
47,172,0,0
48,191,2,1
49,210,1,1
50,248,1,1
51,259,0,3
52,285,1,4
53,320,1,0
54,347,1,2
55,389,4,0
56,422,2,5
57,462,1,3
58,502,2,1
59,549,2,3
60,617,3,7
61,628,3,2
62,684,3,5
63,757,4,8
64,835,3,6
65,865,7,7
66,965,2,5
67,1017,3,9
68,1083,7,5
69,1134,8,8
70,1234,6,13
71,1397,5,9
72,1509,12,12
73,1574,5,16
74,1675,12,20
75,1842,12,17
76,1896,15,15
77,2128,18,31
78,2214,19,33
79,2318,24,29
80,2557,24,33
81,2681,23,38
82,2850,31,40
83,3095,35,35
84,3420,38,42
85,3618,45,51
86,3732,49,63
87,4108,46,74
88,4272,65,105
89,4721,66,83
90,5095,79,93
91,5308,86,91
92,5749,105,125
93,6483,119,133
94,6834,121,115
95,7695,116,156
96,7925,111,199
97,9059,156,202
98,9197,148,282
99,9920,199,308
100,11086,205,262
101,11768,295,348
102,13058,317,455
103,14273,402,382
104,15550,417,508
105,16377,453,660
106,18340,521,724
107,19327,586,650
108,21115,790,936
109,22099,904,1102
110,24119,1023,1328
111,26496,1238,1598
112,29065,1762,1894
113,31374,2140,2453
114,33173,2849,3153
115,34321,3682,4366
116,34404,4654,4784
117,33880,4559,4768
118,38675,4601,5245
119,50972,5278,6000
120,62927,6821,7123
121,74303,9242,9550
122,91541,11784,12958
123,120587,16365,17571
124,133177,23087,23285
125,129273,36218,35763
126,129741,63326,75969
127,473610,1707268,1937627
128,497277,1648600,1462165
129,135443,63944,54782
130,134465,35992,29849
131,138768,25856,19975
132,125669,18236,13326
133,95501,13993,9670
134,77608,11028,7474
135,65743,9757,5676
136,53223,7994,4939
137,40326,7137,4358
138,35526,6504,4311
139,35977,6204,3733
140,35610,5602,3085
141,35081,4584,2137
142,32813,3158,1548
143,30294,2453,1182
144,27347,2199,949
145,24706,1709,765
146,23717,1409,704
147,22310,1188,577
148,20263,1024,573
149,18849,979,517
150,17578,711,386
151,15880,684,307
152,14303,585,279
153,13220,490,232
154,12361,442,179
155,11685,449,156
156,10330,399,135
157,9666,333,110
158,8909,311,101
159,8090,226,92
160,7471,204,76
161,7291,211,67
162,6567,169,59
163,6109,138,59
164,5902,122,54
165,5441,131,42
166,4845,116,36
167,4414,108,26
168,4351,97,30
169,3809,69,28
170,3807,87,25
171,3617,64,12
172,3390,54,18
173,3015,53,14
174,2789,52,9
175,2606,47,12
176,2508,37,12
177,2382,24,5
178,2141,39,5
179,2062,34,9
180,1910,35,5
181,1777,23,5
182,1641,23,6
183,1484,15,4
184,1451,10,5
185,1345,21,6
186,1271,12,1
187,1166,12,4
188,1043,10,7
189,994,9,2
190,970,12,3
191,876,11,2
192,770,9,2
193,721,9,3
194,697,8,4
195,632,5,1
196,570,7,2
197,521,6,0
198,492,1,2
199,415,1,0
200,398,5,3
201,377,4,1
202,330,4,0
203,300,5,2
204,291,5,0
205,228,2,0
206,232,4,0
207,194,1,0
208,212,2,0
209,146,1,0
210,153,1,0
211,137,1,0
212,142,0,0
213,117,1,0
214,123,1,0
215,131,0,0
216,125,0,0
217,109,1,0
218,118,0,0
219,113,0,0
220,106,2,0
221,112,1,0
222,97,1,0
223,103,0,0
224,106,1,0
225,99,0,0
226,102,0,0
227,85,0,0
228,99,0,0
229,85,1,0
230,97,0,0
231,75,0,0
232,92,0,0
233,81,0,0
234,88,0,0
235,73,0,0
236,82,0,0
237,67,0,0
238,88,0,0
239,74,0,0
240,75,0,0
241,68,1,0
242,67,1,0
243,67,0,0
244,64,0,0
245,73,0,0
246,66,0,0
247,65,0,0
248,70,0,0
249,55,0,0
250,59,0,0
251,57,0,0
252,52,0,0
253,64,0,0
254,52,0,0
255,58,0,0
