,delta,k_dic,eps,s_0,w
1,-70,[1 0 0],[1 0 0],1,36
2,-70,[-1 0 0],[1 0 0],1,36
3,-70,[0 1 0],[0 0 1],1,36
4,-70,[0 -1 0],[0 0 1],1,36
5,-70,[0 0 1],[1 0 0],1,36
6,-70,[0 0 -1],[0 0 1],1,36
