,x,y,z
0,18,2,4
1,13,5,5
2,17,2,8
3,11,2,10
4,15,5,13
5,16,1,9
6,24,5,13
7,14,6,4
8,21,7,13
9,14,7,12
10,14,3,20
11,17,7,17
12,18,4,20
13,13,8,15
14,11,8,25
15,18,15,27
16,19,10,25
17,20,10,27
18,20,6,33
19,21,15,24
20,24,12,34
21,26,11,41
22,26,23,51
23,21,14,52
24,45,14,49
25,42,20,37
26,45,16,52
27,46,25,58
28,55,32,60
29,79,26,72
30,82,24,78
31,96,31,67
32,122,23,61
33,134,36,106
34,148,45,113
35,190,40,94
36,198,38,118
37,242,53,123
38,232,43,108
39,260,46,121
40,281,56,130
41,380,69,150
42,477,58,150
43,428,61,147
44,516,53,164
45,589,68,167
46,623,84,188
47,563,71,208
48,462,96,230
49,616,113,220
50,745,100,236
51,821,104,259
52,956,105,328
53,870,119,346
54,921,144,357
55,859,126,392
56,890,150,454
57,1022,164,579
58,1014,175,612
59,1090,189,614
60,1077,211,651
61,1051,203,779
62,1076,241,983
63,1188,231,1169
64,1280,332,1213
65,1322,339,1328
66,1329,379,1342
67,1267,428,1559
68,1339,508,1589
69,1225,538,2090
70,1457,614,2026
71,1513,655,2238
72,1512,747,2532
73,1669,867,3021
74,1687,1026,3150
75,1695,1203,3359
76,1763,1125,3799
77,1665,1277,4043
78,1953,1649,4502
79,1900,1784,4989
80,1777,1887,5499
81,1832,2300,6365
82,1940,2477,6588
83,1918,2872,7424
84,1896,3279,8349
85,1955,3535,8815
86,1927,4084,9838
87,1960,4366,10669
88,2037,4905,11503
89,2014,5364,11937
90,2004,5952,12230
91,2013,6229,12656
92,2039,6408,13414
93,2078,6933,13625
94,2112,7122,14111
95,2211,7591,15448
96,2433,7738,16370
97,2711,8780,18865
98,3206,9731,21762
99,3976,10104,24948
100,5203,10643,29465
101,6932,11128,33264
102,9416,11964,38105
103,12375,12190,41694
104,15932,12218,43976
105,20809,11734,43861
106,27919,12260,44627
107,35663,12068,42180
108,43098,11698,41546
109,53021,11174,38942
110,58113,11675,38597
111,54616,12066,37679
112,46983,13800,39753
113,40726,15029,41753
114,34401,16436,43849
115,28912,18440,44741
116,25062,17557,46110
117,22174,17662,43626
118,19977,17094,42500
119,18449,17637,42454
120,17355,17716,46380
121,16968,17758,45198
122,17120,21688,45976
123,17117,28729,44123
124,18280,38755,53527
125,25045,51934,80682
126,45074,85508,119408
127,223481,419737,254089
128,238759,402641,94405
129,47222,78124,23672
130,25560,42137,20760
131,20242,29675,9387
132,18631,27000,4845
133,17942,23493,5116
134,17737,21000,5119
135,18090,20993,6359
136,19039,20042,5807
137,21069,21094,5906
138,23270,21232,6623
139,25855,21275,6412
140,30300,19558,5684
141,35621,17130,5101
142,41913,15207,5095
143,49687,13238,5114
144,55925,12527,5139
145,59024,12496,5229
146,55658,12368,5124
147,48075,12404,4820
148,39014,12447,4651
149,30094,12843,4731
150,23227,12648,4646
151,17768,12045,4888
152,13920,12155,4734
153,10448,11257,4515
154,7663,10617,4469
155,5672,9963,4739
156,4380,9591,4777
157,3455,8863,4762
158,2905,7932,4577
159,2557,7344,4212
160,2357,7255,4176
161,2232,7025,3895
162,2137,6709,3911
163,2048,6868,3780
164,2013,6610,3802
165,2070,6434,3512
166,2071,6003,3260
167,2050,5966,3242
168,2059,4862,2987
169,2013,4662,2546
170,2002,4456,2556
171,1958,3870,1976
172,1930,3439,1876
173,1943,3173,1782
174,1931,2697,1330
175,1810,2426,1184
176,1882,2356,1227
177,1772,1949,943
178,1692,1668,843
179,1771,1475,730
180,1746,1360,646
181,1790,1276,566
182,1663,1138,480
183,1679,823,403
184,1590,869,339
185,1408,857,302
186,1498,688,266
187,1448,529,243
188,1415,517,229
189,1312,482,190
190,1276,405,170
191,1268,356,146
192,1161,311,147
193,1281,273,133
194,1209,245,133
195,1169,238,112
196,1076,206,109
197,913,205,95
198,876,200,92
199,932,164,103
200,892,154,97
201,993,129,98
202,937,131,67
203,654,142,67
204,715,120,56
205,740,122,75
206,667,118,54
207,691,104,60
208,623,103,60
209,651,88,72
210,491,78,52
211,497,81,63
212,413,75,45
213,415,68,43
214,389,60,29
215,359,64,42
216,354,77,28
217,319,64,34
218,258,55,32
219,221,56,29
220,192,38,33
221,190,50,27
222,148,46,26
223,113,36,17
224,111,42,20
225,92,15,24
226,67,38,19
227,56,31,19
228,60,22,28
229,59,29,22
230,47,33,16
231,27,32,16
232,38,25,12
233,19,15,15
234,34,28,10
235,30,27,13
236,24,16,10
237,19,14,12
238,29,15,15
239,12,25,5
240,12,11,8
241,23,14,11
242,16,6,16
243,21,14,6
244,22,6,14
245,27,12,1
246,20,8,3
247,15,6,5
248,15,8,5
249,13,4,4
250,16,15,5
251,19,9,12
252,10,6,5
253,9,3,3
254,10,7,4
255,17,6,1
